L1,L2,L3,L4,LC_UNQ,L1-label,L2-label,L3_Label,L4_Label,L5_label,Text,details,L1_name,L2_name,L3_name,L4_name,UNQ_name,,CropNoCrop
10,50,53,53,53,,,"developed, low intensity",,,"             developed, low intensity",20-50% impervious surface,NoVeg,Mixed_LowNo,built_mix_lowden,built_mix_lowden,built_mix_lowden,,98
10,50,57,57,57,,,"developed, open space",,,"             developed, open space","mostly low veg or bare, but up tp 20% built material",NoVeg,Mixed_LowNo,mixed_low_built,mixed_low_built,mixed_low_built,,98
10,50,70,55,55,,,grass with bare,,,             mixed low veg and bare,>30% NoVeg_bare/built and >30% LowVeg (and not Built or TreePlant_new) ,NoVeg,Mixed_LowNo,grass_any,grass_bare,grass_bare,,98
10,50,70,55,51,,,,mixed-path,,                   mixed-path,bare patches follow linear pattern -- veg could be other low or even med depending on mapping purpose,NoVeg,Mixed_LowNo,mixed_path,mixed_path,mixed_path,,98
60,50,70,55,58,,,,grass with patches of bare soil,,                   grass with patches of bare soil,>=50% grass with >=30% bare,LowVeg,Mixed_LowNo,grass_any,grass_bare,grass_bare,,98
60,50,70,55,72,,,,grass with rocks,,                   grass with rocks,>=50% grass with >=30% rocks,LowVeg,Mixed_LowNo,grass_any,grass_bare,grass_rocks,,98
60,50,70,55,71,,,,thin grass,,                   thin grass,thin layer of grass or low veg over hard substrate,LowVeg,Mixed_LowNo,grass_any,grass_bare,grass_thin,,98
60,50,70,55,79,,,,grass with termite / ant mounds,,                   grass with termite / ant mounds,,LowVeg,Mixed_LowNo,grass_any,grass_bare,grass_nests,,98
60,50,54,54,54,,,seagrass,,,             seagrass,,LowVeg,Mixed_LowNo,seagrass,seagrass,seagrass,,98
60,50,56,56,56,,,low littoral vegetation,,,             low littoral vegetation,">30% water and >30% low veg, or low, littoral vegetation that is flooded during year",LowVeg,Mixed_LowNo,water_edge,water_edge,water_edge,,98
